,City,job,salary_percentiles
0,ottawa,"{'id': 'ACCOUNT-MANAGER', 'title': 'Account Manager'}","{'percentile_25': 38347.05439050182, 'percentile_50': 46742.15349379461, 'percentile_75': 56975.14314889898}"
1,ottawa,"{'id': 'ACCOUNTANT', 'title': 'Accountant'}","{'percentile_25': 36693.18082147674, 'percentile_50': 43603.25618990205, 'percentile_75': 51814.639881245246}"
2,ottawa,"{'id': 'ADMINISTRATIVE-ASSISTANT', 'title': 'Administrative Assistant'}","{'percentile_25': 24060.5785393322, 'percentile_50': 28197.414537528955, 'percentile_75': 33045.51406781415}"
3,ottawa,"{'id': 'ARCHITECT', 'title': 'Architect'}","{'percentile_25': 33183.27362218917, 'percentile_50': 40676.642570465774, 'percentile_75': 49862.14650320181}"
4,ottawa,"{'id': 'ATTORNEY', 'title': 'Attorney'}","{'percentile_25': 48563.083746339544, 'percentile_50': 63391.539664701886, 'percentile_75': 82747.77858118137}"
5,ottawa,"{'id': 'BUSINESS-ANALYST', 'title': 'Business Analyst'}","{'percentile_25': 45371.90281593392, 'percentile_50': 53582.91724711331, 'percentile_75': 63279.89003147332}"
6,ottawa,"{'id': 'BUSINESS-DEVELOPMENT', 'title': 'Business Development'}","{'percentile_25': 48185.50609357482, 'percentile_50': 59121.19519179537, 'percentile_75': 72538.73631872973}"
7,ottawa,"{'id': 'C-LEVEL-EXECUTIVE', 'title': 'C Level Executive'}","{'percentile_25': 60435.232662656854, 'percentile_50': 83794.47067058981, 'percentile_75': 116182.44864146861}"
8,ottawa,"{'id': 'CASHIER', 'title': 'Cashier'}","{'percentile_25': 18830.188166959637, 'percentile_50': 26823.35952121666, 'percentile_75': 38209.52874315409}"
9,ottawa,"{'id': 'CHEF', 'title': 'Chef'}","{'percentile_25': 22648.063774297756, 'percentile_50': 26488.507804562938, 'percentile_75': 30980.17793947807}"
10,ottawa,"{'id': 'CHEMICAL-ENGINEER', 'title': 'Chemical Engineer'}","{'percentile_25': 39490.11402406163, 'percentile_50': 47149.497711691445, 'percentile_75': 56294.47241176006}"
11,ottawa,"{'id': 'CIVIL-ENGINEER', 'title': 'Civil Engineer'}","{'percentile_25': 44183.01851327048, 'percentile_50': 54149.971963533084, 'percentile_75': 66365.30418967911}"
12,ottawa,"{'id': 'CONTENT-MARKETING', 'title': 'Content Marketing'}","{'percentile_25': 39923.95822364795, 'percentile_50': 49575.53981102088, 'percentile_75': 61560.3827102078}"
13,ottawa,"{'id': 'COPYWRITER', 'title': 'Copywriter'}","{'percentile_25': 32822.95133561613, 'percentile_50': 39282.28243828355, 'percentile_75': 47012.7654817764}"
14,ottawa,"{'id': 'CUSTOMER-SUPPORT', 'title': 'Customer Support'}","{'percentile_25': 29130.513316225737, 'percentile_50': 32944.258174759154, 'percentile_75': 37257.29563717156}"
15,ottawa,"{'id': 'DATA-ANALYST', 'title': 'Data Analyst'}","{'percentile_25': 36642.64768378738, 'percentile_50': 43310.72875210541, 'percentile_75': 51192.24028858621}"
16,ottawa,"{'id': 'DATA-SCIENTIST', 'title': 'Data Scientist'}","{'percentile_25': 53998.244675063965, 'percentile_50': 66981.11127083408, 'percentile_75': 83085.46498267338}"
17,ottawa,"{'id': 'DENTIST', 'title': 'Dentist'}","{'percentile_25': 88171.99620348826, 'percentile_50': 122926.133974632, 'percentile_75': 171379.06664918357}"
18,ottawa,"{'id': 'ELECTRICAL-ENGINEER', 'title': 'Electrical Engineer'}","{'percentile_25': 36535.44823018384, 'percentile_50': 43888.841336673744, 'percentile_75': 52722.232439572545}"
19,ottawa,"{'id': 'EXECUTIVE-ASSISTANT', 'title': 'Executive Assistant'}","{'percentile_25': 36606.653090879285, 'percentile_50': 42449.31789590136, 'percentile_75': 49224.5107837038}"
20,ottawa,"{'id': 'FASHION-DESIGNER', 'title': 'Fashion Designer'}","{'percentile_25': 27247.610982775306, 'percentile_50': 35096.41516486706, 'percentile_75': 45206.104792209924}"
21,ottawa,"{'id': 'FINANCE-MANAGER', 'title': 'Finance Manager'}","{'percentile_25': 45959.432777348324, 'percentile_50': 55384.93480772622, 'percentile_75': 66743.44782531638}"
22,ottawa,"{'id': 'FINANCIAL-ANALYST', 'title': 'Financial Analyst'}","{'percentile_25': 37059.08111563987, 'percentile_50': 42721.84957739148, 'percentile_75': 49249.91058515485}"
23,ottawa,"{'id': 'GRAPHIC-DESIGNER', 'title': 'Graphic Designer'}","{'percentile_25': 27800.166566217784, 'percentile_50': 32327.20650275551, 'percentile_75': 37591.439525463866}"
24,ottawa,"{'id': 'HARDWARE-ENGINEER', 'title': 'Hardware Engineer'}","{'percentile_25': 57751.84194913164, 'percentile_50': 66898.82027409191, 'percentile_75': 77494.53529131193}"
25,ottawa,"{'id': 'HUMAN-RESOURCES-MANAGER', 'title': 'Human Resources Manager'}","{'percentile_25': 46911.03519835096, 'percentile_50': 55767.31670041041, 'percentile_75': 66295.56561295407}"
26,ottawa,"{'id': 'IT-MANAGER', 'title': 'IT Manager'}","{'percentile_25': 58009.39521843591, 'percentile_50': 69058.41842305321, 'percentile_75': 82211.94406760241}"
27,ottawa,"{'id': 'INDUSTRIAL-DESIGNER', 'title': 'Industrial Designer'}","{'percentile_25': 27212.24619970219, 'percentile_50': 33207.75565723881, 'percentile_75': 40524.21941570354}"
28,ottawa,"{'id': 'INTERIOR-DESIGNER', 'title': 'Interior Designer'}","{'percentile_25': 24746.36012346809, 'percentile_50': 29468.650684847897, 'percentile_75': 35092.08501180916}"
29,ottawa,"{'id': 'LECTURER', 'title': 'Lecturer'}","{'percentile_25': 28166.26608311654, 'percentile_50': 38771.16382464146, 'percentile_75': 53368.91797731892}"
30,ottawa,"{'id': 'MARKETING-MANAGER', 'title': 'Marketing Manager'}","{'percentile_25': 37151.03826128232, 'percentile_50': 44931.06524751601, 'percentile_75': 54340.3554452063}"
31,ottawa,"{'id': 'MECHANICAL-ENGINEER', 'title': 'Mechanical Engineer'}","{'percentile_25': 50210.39585996598, 'percentile_50': 59551.07616501319, 'percentile_75': 70629.41073601018}"
32,ottawa,"{'id': 'MOBILE-DEVELOPER', 'title': 'Mobile Developer'}","{'percentile_25': 46771.88946279792, 'percentile_50': 56389.511956568254, 'percentile_75': 67984.78947978208}"
33,ottawa,"{'id': 'NURSE', 'title': 'Nurse'}","{'percentile_25': 38175.962265080576, 'percentile_50': 43386.76901611544, 'percentile_75': 49308.82193844765}"
34,ottawa,"{'id': 'OFFICE-MANAGER', 'title': 'Office Manager'}","{'percentile_25': 25178.5642624427, 'percentile_50': 29968.604111405384, 'percentile_75': 35669.914417074586}"
35,ottawa,"{'id': 'OPERATIONS-MANAGER', 'title': 'Operations Manager'}","{'percentile_25': 35815.643073295825, 'percentile_50': 45472.36733695636, 'percentile_75': 57732.76741103112}"
36,ottawa,"{'id': 'PHARMACIST', 'title': 'Pharmacist'}","{'percentile_25': 47688.78025644061, 'percentile_50': 59363.84587879422, 'percentile_75': 73897.17620310264}"
37,ottawa,"{'id': 'PHYSICIAN', 'title': 'Physician'}","{'percentile_25': 102303.5560190045, 'percentile_50': 139050.86787555247, 'percentile_75': 188997.76908392648}"
